Characteristic,Sex,Age,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent
"Total - Ages 0–17, Asian alone, non-Hispanic",, 0–17,"Asian alone, non-Hispanic",2013,14.5,1.3,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Ages 0–17, Asian alone, non-Hispanic",, 0–17,"Asian alone, non-Hispanic",2014,12.7,1.2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2002,19,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2003,20.6,1.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2004,20.7,1.6,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2005,18.9,1.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2006,22.4,1.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2007,19.1,1.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2008,20.6,1.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2009,26,1.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2010,25.4,1.5,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2011,24.5,1.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2012,26,1.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2013,22.5,1.7,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2013,24.2,1.6,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Ages 0–17, Other, non-Hispanic",, 0–17,"Other, non-Hispanic",2014,23.4,1.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Hispanic",, 0–17,Hispanic,2002,28.6,0.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Ages 0–17, Hispanic",, 0–17,Hispanic,2003,29.7,0.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
