Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2004,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2005,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2006,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2007,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2008,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2009,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2010,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2011,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2012,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Child of householder, White, non-Hispanic",,"White, non-Hispanic",2013,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
